epoch,val_loss,val_accuracy,loss,accuracy

0,0.698077380657196,0.9128666520118713,0.781522284634908,0.7395777702331543

1,0.3568008840084076,0.9441333413124084,0.2810056224187215,0.9118888974189758

2,0.4224296510219574,0.9351999759674072,0.20967541580465104,0.9351111054420471

3,0.18257860839366913,0.9568666815757751,0.17343580029408137,0.9458000063896179

4,0.03382887691259384,0.9657333493232727,0.15801274768511453,0.9524444341659546

5,0.30050259828567505,0.9546666741371155,0.1405826789961921,0.9563999772071838

6,0.05481743440032005,0.9649999737739563,0.1343743674463696,0.9587777853012085

7,0.1584084928035736,0.9693333506584167,0.12539668497906792,0.9607333540916443

8,0.1936092972755432,0.970466673374176,0.1210592534634802,0.9632222056388855

9,0.15094241499900818,0.9693333506584167,0.11686075652837753,0.9642666578292847

10,0.05611960217356682,0.9706666469573975,0.10970958491630024,0.9658666849136353

11,0.04662812873721123,0.9712666869163513,0.10624255330695047,0.9670666456222534

12,0.18287305533885956,0.975600004196167,0.10396419691708353,0.9676666855812073

13,0.013938779942691326,0.9757999777793884,0.10295509787665473,0.9688888788223267

14,0.11297720670700073,0.9720666408538818,0.10073557514614528,0.9687555432319641

15,0.31630590558052063,0.9790666699409485,0.1003329548517863,0.9693777561187744

16,0.0905727669596672,0.9787333607673645,0.09160602378182942,0.9710222482681274

17,0.006402288097888231,0.9771999716758728,0.094243104159832,0.9714444279670715

18,0.0026967928279191256,0.973800003528595,0.09010691334472762,0.9728888869285583

19,0.014841957949101925,0.9786666631698608,0.08757648777564367,0.9723333120346069

20,0.006419652607291937,0.9766666889190674,0.08825720720324251,0.9728666543960571

21,0.027555415406823158,0.9779333472251892,0.08612079633209441,0.9734444618225098

22,0.1519874781370163,0.9782000184059143,0.0814627049446106,0.9743777513504028

23,0.012264971621334553,0.9797999858856201,0.08478741623957951,0.9730888605117798

24,0.15718476474285126,0.9717333316802979,0.08167721789975961,0.9754444360733032

25,0.07270439714193344,0.9780666828155518,0.08041824560960134,0.9749555587768555

26,0.051735956221818924,0.9774666428565979,0.08064763444794548,0.9749333262443542

27,0.023778202012181282,0.9806666374206543,0.07556842199961344,0.9764000177383423

28,0.1103501096367836,0.9796666502952576,0.07628015755282508,0.9762444496154785

29,0.004143901634961367,0.9817333221435547,0.07714328167570962,0.976711094379425

30,0.003412163583561778,0.9828000068664551,0.07639951395193736,0.976288914680481

31,0.07307722419500351,0.9815333485603333,0.07804170977605714,0.9763110876083374

32,0.18929056823253632,0.9794666767120361,0.06929703656584024,0.9780222177505493

33,0.18803663551807404,0.9807999730110168,0.07286867939101326,0.9769333600997925

34,0.012073037214577198,0.9803333282470703,0.07257865605486764,0.9777110815048218

35,0.012708231806755066,0.9827333092689514,0.07378606045511034,0.977400004863739

36,0.08431094884872437,0.980733335018158,0.07126903605063756,0.9770444631576538

37,0.021017974242568016,0.9814666509628296,0.06960058680242963,0.9783555269241333

38,0.16785567998886108,0.9779333472251892,0.07197245849503411,0.9779333472251892

39,0.009753433056175709,0.9832000136375427,0.06918601633989149,0.9787333607673645

40,0.0020957831293344498,0.98253333568573,0.06713093867566851,0.9786888957023621

41,0.1408848613500595,0.9833333492279053,0.0653936744650205,0.9792444705963135

42,0.080147385597229,0.984000027179718,0.06779912991668616,0.9794444441795349

43,0.04407144710421562,0.9822666645050049,0.06628220222724808,0.978866696357727

44,0.023749543353915215,0.9833999872207642,0.06723588696585761,0.9801555275917053

45,0.010388844646513462,0.9793999791145325,0.06625985905594296,0.9790444374084473

46,0.040161628276109695,0.9805999994277954,0.06508429870605469,0.9788888692855835

47,0.00027309489087201655,0.982200026512146,0.0659922617620892,0.9797999858856201

48,0.010295423679053783,0.9833999872207642,0.06281196950806511,0.9806222319602966

49,0.06745011359453201,0.9843999743461609,0.06275742416381835,0.9806888699531555

